@RELATION movie
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE awardedDirector {0,1}
@ATTRIBUTE oscarDirector {0,1}
@ATTRIBUTE awardedActor {0,1}
@ATTRIBUTE oscarActor {0,1}
@ATTRIBUTE genre {Drama,Horror,Action,Comedy,Others}
@ATTRIBUTE certificate {R, PG_13, PG, NOT_RATED}
@ATTRIBUTE rating {Bad,Regular,Good}
@DATA
88,0,0,1,0,Drama,NOT_RATED,Bad
82,0,0,0,0,Horror,NOT_RATED,Bad
81,0,0,1,0,Comedy,NOT_RATED,Bad
0,0,0,0,0,Horror,NOT_RATED,Bad
0,0,0,0,0,Drama,NOT_RATED,Bad
169,0,0,0,0,Horror,NOT_RATED,Bad
86,0,0,1,0,Horror,R,Bad
0,0,0,0,0,Action,NOT_RATED,Bad
90,0,0,0,0,Comedy,NOT_RATED,Bad
95,0,0,0,0,Drama,NOT_RATED,Bad
119,0,0,0,0,Action,NOT_RATED,Bad
0,0,0,0,0,Drama,NOT_RATED,Bad
0,0,0,0,0,Action,NOT_RATED,Bad
154,0,0,1,0,Action,NOT_RATED,Bad
103,0,0,0,0,Drama,NOT_RATED,Bad
115,0,0,0,0,Drama,NOT_RATED,Bad
87,0,0,0,0,Comedy,NOT_RATED,Bad
91,0,0,0,0,Comedy,NOT_RATED,Bad
80,0,0,0,0,Horror,NOT_RATED,Bad
100,0,0,0,0,Action,NOT_RATED,Bad
0,0,0,1,0,Drama,NOT_RATED,Bad
61,0,0,0,0,Action,NOT_RATED,Bad
89,0,0,0,0,Action,PG_13,Bad
0,0,0,0,0,Comedy,NOT_RATED,Bad
114,0,0,1,0,Action,NOT_RATED,Bad
0,0,0,1,0,Action,NOT_RATED,Bad
93,0,0,1,0,Action,NOT_RATED,Bad
84,0,0,1,0,Horror,NOT_RATED,Bad
0,0,0,1,0,Comedy,NOT_RATED,Bad
0,0,0,1,0,Horror,NOT_RATED,Bad
0,0,0,1,0,Action,NOT_RATED,Bad
0,0,0,1,0,Comedy,NOT_RATED,Bad
87,0,0,1,0,Horror,NOT_RATED,Bad
89,0,0,0,0,Horror,NOT_RATED,Bad
91,0,0,0,0,Comedy,NOT_RATED,Bad
115,0,0,0,0,Drama,NOT_RATED,Bad
103,0,0,1,0,Comedy,NOT_RATED,Bad
95,0,0,1,0,Drama,NOT_RATED,Bad
90,0,0,1,0,Comedy,NOT_RATED,Bad
52,0,0,0,0,Horror,NOT_RATED,Bad
170,0,0,1,0,Comedy,NOT_RATED,Bad
91,0,0,1,0,Action,R,Bad
0,0,0,1,0,Horror,NOT_RATED,Bad
95,0,0,0,0,Comedy,NOT_RATED,Bad
91,0,0,0,0,Drama,NOT_RATED,Bad
86,0,0,1,0,Comedy,PG_13,Bad
90,0,0,1,0,Action,R,Bad
0,0,0,1,0,Horror,NOT_RATED,Bad
0,0,0,0,0,Horror,NOT_RATED,Bad
74,0,0,1,0,Action,NOT_RATED,Bad
97,0,0,1,0,Horror,NOT_RATED,Regular
105,0,0,1,0,Comedy,NOT_RATED,Regular
98,0,0,1,0,Horror,R,Regular
85,0,0,0,0,Others,NOT_RATED,Regular
100,0,0,1,0,Drama,NOT_RATED,Good
112,0,0,1,0,Action,R,Regular
97,0,0,1,0,Comedy,PG_13,Regular
88,0,0,1,0,Others,PG,Regular
91,0,0,1,0,Action,R,Regular
115,0,0,1,0,Comedy,PG_13,Good
104,0,0,1,0,Action,R,Regular
95,0,0,1,0,Comedy,R,Regular
107,0,0,1,0,Action,R,Regular
77,0,0,1,0,Action,NOT_RATED,Regular
80,0,0,1,0,Comedy,PG_13,Regular
97,0,0,1,0,Horror,R,Regular
90,0,0,1,0,Others,R,Regular
141,0,0,1,0,Action,NOT_RATED,Regular
0,0,0,1,0,Action,R,Regular
106,0,0,1,0,Others,NOT_RATED,Good
90,0,0,1,0,Action,R,Regular
89,0,0,1,0,Others,PG,Regular
117,0,0,1,0,Comedy,R,Good
101,0,0,1,0,Drama,PG_13,Regular
90,0,0,1,0,Comedy,R,Regular
89,0,0,1,0,Comedy,R,Regular
96,0,0,1,0,Comedy,PG_13,Bad
121,0,0,1,0,Action,NOT_RATED,Regular
88,0,0,1,0,Comedy,R,Regular
83,0,0,0,0,Horror,NOT_RATED,Bad
141,0,0,1,0,Drama,PG_13,Good
117,0,0,1,0,Drama,NOT_RATED,Good
93,0,0,1,0,Comedy,R,Regular
98,0,0,1,0,Drama,NOT_RATED,Regular
99,0,0,1,0,Action,R,Regular
0,0,0,1,0,Horror,R,Bad
81,0,0,1,0,Horror,R,Regular
94,0,0,1,0,Comedy,NOT_RATED,Regular
108,0,0,0,0,Drama,R,Good
97,0,0,1,0,Drama,R,Regular
99,0,0,1,0,Action,R,Regular
90,0,0,1,0,Action,PG_13,Bad
99,0,0,1,0,Horror,R,Regular
115,0,0,1,0,Others,NOT_RATED,Regular
111,0,0,1,0,Others,R,Regular
89,0,0,0,0,Horror,PG_13,Regular
96,0,0,0,0,Drama,R,Regular
93,0,0,1,0,Others,R,Good
91,0,0,1,0,Drama,NOT_RATED,Regular
130,0,0,1,0,Action,PG_13,Regular
83,0,0,1,0,Comedy,NOT_RATED,Bad
0,0,0,1,0,Action,NOT_RATED,Bad
0,0,0,0,0,Comedy,NOT_RATED,Bad
